tid	section_name	venue_name
1	Main Floor	HISTORY
4	Main Floor	HISTORY
7	Mezzanine GA	HISTORY
9	Main Floor	The Anthem
11	Main Floor	The Anthem
13	Main Floor	The Anthem
15	Main Floor	Thalia Hall
18	Main Floor	Thalia Hall
21	Main Floor	Thalia Hall
28	Main Floor	Howard Theatre
30	Main Floor	Howard Theatre
33	Main Floor	Howard Theatre
34	Main Floor	Howard Theatre
81	Mezzanine GA	HISTORY
84	Mezzanine GA	HISTORY
87	Mezzanine GA	HISTORY
90	Mezzanine GA	HISTORY
93	Main Floor	HISTORY
96	Mezzanine GA	HISTORY
99	Main Floor	HISTORY
102	Mezzanine GA	HISTORY
105	Main Floor	HISTORY
108	Mezzanine GA	HISTORY
110	Main Floor	The Anthem
113	Main Floor	The Anthem
116	Main Floor	The Anthem
119	Main Floor	The Anthem
122	Main Floor	HISTORY
123	Main Floor	HISTORY
124	Main Floor	HISTORY
125	Mezzanine GA	HISTORY
126	Main Floor	HISTORY
127	Main Floor	HISTORY
128	Mezzanine GA	HISTORY
129	Main Floor	HISTORY
130	Main Floor	HISTORY
131	Main Floor	The Anthem
132	Main Floor	The Anthem
133	Main Floor	The Anthem
134	Main Floor	The Anthem
135	Main Floor	The Anthem
136	Main Floor	The Anthem
137	Main Floor	The Anthem
152	Main Floor	Howard Theatre
153	Main Floor	Howard Theatre
154	Main Floor	Howard Theatre
155	Main Floor	The Anthem
159	Main Floor	The Anthem
163	Main Floor	The Anthem
167	Main Floor	The Anthem
171	Main Floor	The Anthem
175	Main Floor	The Anthem
179	Main Floor	The Anthem
183	Main Floor	The Anthem
187	Main Floor	The Anthem
191	Main Floor	The Anthem
195	Main Floor	The Anthem
196	Main Floor	Thalia Hall
200	Main Floor	Thalia Hall
204	Main Floor	Thalia Hall
208	Main Floor	Thalia Hall
212	Main Floor	Thalia Hall
216	Main Floor	Thalia Hall
220	Main Floor	Thalia Hall
224	Main Floor	Thalia Hall
228	Main Floor	Thalia Hall
232	Main Floor	Thalia Hall
236	Main Floor	Thalia Hall
238	Main Floor	Thalia Hall
242	Main Floor	Thalia Hall
246	Main Floor	Thalia Hall
250	Main Floor	Thalia Hall
254	Main Floor	Thalia Hall
258	Main Floor	Thalia Hall
262	Main Floor	Thalia Hall
266	Main Floor	Thalia Hall
270	Main Floor	Thalia Hall
274	Main Floor	Thalia Hall
278	Main Floor	Thalia Hall
281	Main Floor	Thalia Hall
285	Main Floor	Thalia Hall
289	Main Floor	Thalia Hall
293	Main Floor	Thalia Hall
297	Main Floor	Thalia Hall
301	Main Floor	Thalia Hall
305	Main Floor	Thalia Hall
309	Main Floor	Thalia Hall
313	Main Floor	Thalia Hall
317	Main Floor	Thalia Hall
321	Main Floor	Thalia Hall
418	Main Floor	Howard Theatre
422	Main Floor	Howard Theatre
426	Main Floor	Howard Theatre
