lid	tid	seller_id	list_datetime	price	withdraw_datetime	buyer_id	trans_datetime
1	3758	9	2026-06-10 10:54:51	68.25	2026-06-11 10:54:51	\N	\N
2	121	9	2026-01-27 00:18:43	102.00	2026-01-28 00:18:43	\N	\N
3	1353	9	2026-05-02 06:46:12	46.20	\N	22	2026-05-03 06:46:12
4	54	9	2026-04-09 22:22:37	57.60	\N	33	2026-04-10 22:22:37
5	118	9	2026-01-27 00:18:43	91.80	\N	18	2026-01-28 00:18:43
6	3872	9	2026-05-16 06:00:00	65.00	\N	\N	\N
7	75	9	2026-04-13 13:00:00	32.80	\N	10	2026-04-14 13:00:00
8	1226	9	2026-01-14 16:20:27	82.00	\N	52	2026-01-15 16:20:27
9	115	9	2026-01-27 00:18:43	91.80	\N	30	2026-01-28 00:18:43
10	56	9	2026-04-09 22:22:37	70.40	\N	68	2026-04-10 22:22:37
11	59	9	2026-04-09 22:22:37	44.00	\N	59	2026-04-10 22:22:37
12	61	9	2026-04-09 22:22:37	43.12	\N	16	2026-04-10 22:22:37
13	3757	9	2026-06-10 10:54:51	53.30	\N	77	2026-06-11 10:54:51
14	119	9	2026-01-27 00:18:43	55.86	\N	60	2026-01-28 00:18:43
15	57	9	2026-04-09 22:22:37	52.48	\N	\N	\N
16	55	9	2026-04-09 22:22:37	57.60	\N	86	2026-04-10 22:22:37
17	3759	9	2026-06-10 10:54:51	63.70	\N	\N	\N
18	3874	9	2026-05-16 06:00:00	70.20	\N	\N	\N
19	3761	9	2026-06-10 10:54:51	65.00	\N	51	2026-06-11 10:54:51
20	88	9	2026-01-11 13:57:13	106.70	\N	42	2026-01-12 13:57:13
21	328	9	2026-03-20 16:27:29	93.60	\N	48	2026-03-21 16:27:29
22	1225	9	2026-01-14 16:20:27	38.85	\N	64	2026-01-15 16:20:27
23	63	9	2026-04-09 22:22:37	36.08	\N	67	2026-04-10 22:22:37
24	92	9	2026-01-11 13:57:13	87.30	\N	61	2026-01-12 13:57:13
25	1288	9	2026-05-27 05:00:00	40.95	\N	21	2026-05-28 05:00:00
26	53	9	2026-04-09 22:22:37	70.40	\N	13	2026-04-10 22:22:37
27	69	9	2026-04-13 13:00:00	44.00	\N	32	2026-04-14 13:00:00
28	102	9	2026-07-13 04:18:24	52.50	\N	66	2026-07-14 04:18:24
29	3875	9	2026-05-16 06:00:00	58.50	\N	22	2026-05-17 06:00:00
30	96	9	2026-07-13 04:18:24	41.00	\N	73	2026-07-14 04:18:24
31	98	9	2026-07-13 04:18:24	93.10	\N	28	2026-07-14 04:18:24
