pid	eid	cancel_datetime	datetime	venue_name
1	1	\N	2026-03-06 19:30:00	HISTORY
2	1	\N	2026-07-11 20:00:00	HISTORY
3	1	\N	2026-10-18 19:30:00	HISTORY
4	2	\N	2026-03-10 19:30:00	The Anthem
5	2	\N	2026-07-16 20:00:00	The Anthem
6	2	\N	2026-10-24 19:30:00	The Anthem
7	3	\N	2026-03-14 19:30:00	Thalia Hall
8	3	\N	2026-07-18 20:00:00	Thalia Hall
9	3	\N	2026-10-24 19:30:00	Thalia Hall
10	4	2026-03-11 19:30:00	2026-03-18 19:30:00	Lincoln Theatre
11	4	\N	2026-07-23 20:00:00	Lincoln Theatre
12	4	\N	2026-10-30 19:30:00	Lincoln Theatre
13	5	\N	2026-03-22 19:30:00	Howard Theatre
14	5	\N	2026-07-28 20:00:00	Howard Theatre
15	5	\N	2026-11-05 19:30:00	Howard Theatre
16	6	\N	2026-03-26 19:30:00	Vogue Theatre
17	6	\N	2026-07-30 20:00:00	Vogue Theatre
18	6	\N	2026-11-05 19:30:00	Vogue Theatre
19	7	\N	2026-03-30 19:30:00	Burton Cummings Theatre
20	7	\N	2026-08-04 20:00:00	Burton Cummings Theatre
21	7	\N	2026-11-11 19:30:00	Burton Cummings Theatre
22	8	\N	2026-04-03 19:30:00	Capitol Theatre Windsor
23	8	\N	2026-08-09 20:00:00	Capitol Theatre Windsor
24	8	\N	2026-11-17 19:30:00	Capitol Theatre Windsor
25	9	\N	2026-04-07 19:30:00	HISTORY
26	9	2026-08-04 20:00:00	2026-08-11 20:00:00	HISTORY
27	9	\N	2026-11-17 19:30:00	HISTORY
28	10	\N	2026-04-11 19:30:00	The Anthem
29	10	\N	2026-08-16 20:00:00	The Anthem
30	10	\N	2026-11-23 19:30:00	The Anthem
31	11	\N	2026-04-15 19:30:00	Thalia Hall
32	11	\N	2026-08-21 20:00:00	Lincoln Theatre
33	11	\N	2026-11-29 19:30:00	Howard Theatre
34	12	\N	2026-04-19 19:30:00	Vogue Theatre
35	12	\N	2026-08-23 20:00:00	Burton Cummings Theatre
36	12	\N	2026-11-29 19:30:00	Capitol Theatre Windsor
37	13	\N	2026-04-23 19:30:00	HISTORY
38	13	\N	2026-08-28 20:00:00	The Anthem
39	13	\N	2026-12-05 19:30:00	Thalia Hall
40	14	\N	2026-04-27 19:30:00	Lincoln Theatre
41	14	\N	2026-09-02 20:00:00	Howard Theatre
42	14	\N	2026-12-11 19:30:00	Vogue Theatre
43	15	\N	2026-05-01 19:30:00	Burton Cummings Theatre
44	15	\N	2026-09-04 20:00:00	Capitol Theatre Windsor
45	15	2026-12-04 19:30:00	2026-12-11 19:30:00	HISTORY
46	16	\N	2026-05-05 19:30:00	The Anthem
47	16	\N	2026-09-09 20:00:00	Thalia Hall
48	16	\N	2026-12-17 19:30:00	Lincoln Theatre
49	17	\N	2026-05-09 19:30:00	Howard Theatre
50	17	\N	2026-09-14 20:00:00	Vogue Theatre
51	17	\N	2026-12-23 19:30:00	Burton Cummings Theatre
52	18	2026-05-06 19:30:00	2026-05-13 19:30:00	Capitol Theatre Windsor
53	18	\N	2026-09-16 20:00:00	HISTORY
54	18	\N	2026-12-23 19:30:00	The Anthem
55	19	\N	2026-05-17 19:30:00	Thalia Hall
56	19	\N	2026-09-21 20:00:00	Vogue Theatre
57	19	\N	2026-12-29 19:30:00	Capitol Theatre Windsor
58	20	\N	2026-05-21 19:30:00	Lincoln Theatre
59	20	\N	2026-09-26 20:00:00	Burton Cummings Theatre
60	20	\N	2027-01-04 19:30:00	Howard Theatre
