name	pid	price
Standard	1	42.00
VIP	1	87.00
Standard	2	44.00
VIP	2	89.00
Standard	3	40.00
VIP	3	85.00
Standard	4	47.00
VIP	4	92.00
Premium	4	67.00
Standard	5	49.00
VIP	5	94.00
Budget	5	34.00
Standard	6	45.00
VIP	6	90.00
Standard	7	52.00
VIP	7	97.00
Standard	8	54.00
VIP	8	99.00
Premium	8	74.00
Standard	9	50.00
VIP	9	95.00
Standard	10	57.00
VIP	10	102.00
Budget	10	42.00
Standard	11	59.00
VIP	11	104.00
Standard	12	55.00
VIP	12	100.00
Premium	12	75.00
Standard	13	62.00
VIP	13	107.00
Standard	14	64.00
VIP	14	109.00
Standard	15	60.00
VIP	15	105.00
Budget	15	45.00
Standard	16	37.00
VIP	16	82.00
Premium	16	57.00
Standard	17	39.00
VIP	17	84.00
Standard	18	35.00
VIP	18	80.00
Standard	19	42.00
VIP	19	87.00
Standard	20	44.00
VIP	20	89.00
Premium	20	64.00
Standard	21	40.00
VIP	21	85.00
Standard	22	47.00
VIP	22	92.00
Standard	23	49.00
VIP	23	94.00
Standard	24	45.00
VIP	24	90.00
Premium	24	65.00
Standard	25	52.00
VIP	25	97.00
Budget	25	37.00
Standard	26	54.00
VIP	26	99.00
Standard	27	50.00
VIP	27	95.00
Standard	28	57.00
VIP	28	102.00
Premium	28	77.00
Standard	29	59.00
VIP	29	104.00
Standard	30	55.00
VIP	30	100.00
Budget	30	40.00
Standard	31	62.00
VIP	31	107.00
Standard	32	64.00
VIP	32	109.00
Premium	32	84.00
Standard	33	60.00
VIP	33	105.00
Standard	34	37.00
VIP	34	82.00
Standard	35	39.00
VIP	35	84.00
Budget	35	24.00
Standard	36	35.00
VIP	36	80.00
Premium	36	55.00
Standard	37	42.00
VIP	37	87.00
Standard	38	44.00
VIP	38	89.00
Standard	39	40.00
VIP	39	85.00
Standard	40	47.00
VIP	40	92.00
Premium	40	67.00
Standard	41	49.00
VIP	41	94.00
Standard	42	45.00
VIP	42	90.00
Standard	43	52.00
VIP	43	97.00
Standard	44	54.00
VIP	44	99.00
Premium	44	74.00
Standard	45	50.00
VIP	45	95.00
Budget	45	35.00
Standard	46	57.00
VIP	46	102.00
Standard	47	59.00
VIP	47	104.00
Standard	48	55.00
VIP	48	100.00
Premium	48	75.00
Standard	49	62.00
VIP	49	107.00
Standard	50	64.00
VIP	50	109.00
Budget	50	49.00
Standard	51	60.00
VIP	51	105.00
Standard	52	37.00
VIP	52	82.00
Premium	52	57.00
Standard	53	39.00
VIP	53	84.00
Standard	54	35.00
VIP	54	80.00
Standard	55	42.00
VIP	55	87.00
Budget	55	27.00
Standard	56	44.00
VIP	56	89.00
Premium	56	64.00
Standard	57	40.00
VIP	57	85.00
Standard	58	47.00
VIP	58	92.00
Standard	59	49.00
VIP	59	94.00
Standard	60	45.00
VIP	60	90.00
Premium	60	65.00
