tid	seat	row	section_name	venue_name
2	4	7	Mezzanine Reserved	HISTORY
3	32	6	Mezzanine Reserved	HISTORY
5	7	9	Mezzanine Reserved	HISTORY
6	40	2	Mezzanine Reserved	HISTORY
8	21	10	Mezzanine Reserved	HISTORY
10	17	24	Balcony 2	The Anthem
12	13	10	Balcony 1	The Anthem
14	35	4	Balcony 1	The Anthem
16	15	4	Seated Balcony	Thalia Hall
17	22	3	Seated Balcony	Thalia Hall
19	8	1	Seated Balcony	Thalia Hall
20	24	2	Seated Balcony	Thalia Hall
22	3	1	Opera Boxes	Thalia Hall
23	7	10	Seated Balcony	Thalia Hall
24	13	9	Lower Balcony	Lincoln Theatre
25	9	12	Orchestra	Lincoln Theatre
26	22	14	Orchestra	Lincoln Theatre
27	3	18	Orchestra	Lincoln Theatre
29	9	1	Balcony Booths	Howard Theatre
31	1	3	Balcony Booths	Howard Theatre
32	13	3	Balcony Seating	Howard Theatre
35	15	1	Balcony Seating	Howard Theatre
36	16	1	Balcony Seating	Howard Theatre
37	11	28	Orchestra	Vogue Theatre
38	8	11	Dress Circle	Vogue Theatre
39	14	22	Orchestra	Vogue Theatre
40	2	7	Upper Circle	Vogue Theatre
41	23	20	Orchestra	Vogue Theatre
42	12	9	Upper Circle	Vogue Theatre
43	8	12	Dress Circle	Vogue Theatre
44	5	9	Upper Circle	Vogue Theatre
45	19	19	First Balcony	Burton Cummings Theatre
46	28	3	First Balcony	Burton Cummings Theatre
47	17	26	Main Floor	Burton Cummings Theatre
48	2	9	Main Floor	Burton Cummings Theatre
49	26	26	Main Floor	Burton Cummings Theatre
50	21	16	First Balcony	Burton Cummings Theatre
51	17	5	Main Floor	Burton Cummings Theatre
52	23	12	First Balcony	Burton Cummings Theatre
53	25	5	Main Floor	Burton Cummings Theatre
54	27	25	Main Floor	Burton Cummings Theatre
55	21	26	Main Floor	Burton Cummings Theatre
56	15	12	Main Floor	Burton Cummings Theatre
57	4	20	Main Floor	Burton Cummings Theatre
