seat	row	section_name	venue_name
1	1	Mezzanine Reserved	HISTORY
2	1	Mezzanine Reserved	HISTORY
3	1	Mezzanine Reserved	HISTORY
4	1	Mezzanine Reserved	HISTORY
5	1	Mezzanine Reserved	HISTORY
6	1	Mezzanine Reserved	HISTORY
7	1	Mezzanine Reserved	HISTORY
8	1	Mezzanine Reserved	HISTORY
9	1	Mezzanine Reserved	HISTORY
10	1	Mezzanine Reserved	HISTORY
11	1	Mezzanine Reserved	HISTORY
12	1	Mezzanine Reserved	HISTORY
13	1	Mezzanine Reserved	HISTORY
14	1	Mezzanine Reserved	HISTORY
15	1	Mezzanine Reserved	HISTORY
16	1	Mezzanine Reserved	HISTORY
17	1	Mezzanine Reserved	HISTORY
18	1	Mezzanine Reserved	HISTORY
19	1	Mezzanine Reserved	HISTORY
20	1	Mezzanine Reserved	HISTORY
21	1	Mezzanine Reserved	HISTORY
22	1	Mezzanine Reserved	HISTORY
23	1	Mezzanine Reserved	HISTORY
24	1	Mezzanine Reserved	HISTORY
25	1	Mezzanine Reserved	HISTORY
26	1	Mezzanine Reserved	HISTORY
27	1	Mezzanine Reserved	HISTORY
28	1	Mezzanine Reserved	HISTORY
29	1	Mezzanine Reserved	HISTORY
30	1	Mezzanine Reserved	HISTORY
31	1	Mezzanine Reserved	HISTORY
32	1	Mezzanine Reserved	HISTORY
33	1	Mezzanine Reserved	HISTORY
34	1	Mezzanine Reserved	HISTORY
35	1	Mezzanine Reserved	HISTORY
36	1	Mezzanine Reserved	HISTORY
37	1	Mezzanine Reserved	HISTORY
38	1	Mezzanine Reserved	HISTORY
39	1	Mezzanine Reserved	HISTORY
40	1	Mezzanine Reserved	HISTORY
1	2	Mezzanine Reserved	HISTORY
2	2	Mezzanine Reserved	HISTORY
3	2	Mezzanine Reserved	HISTORY
4	2	Mezzanine Reserved	HISTORY
5	2	Mezzanine Reserved	HISTORY
6	2	Mezzanine Reserved	HISTORY
7	2	Mezzanine Reserved	HISTORY
8	2	Mezzanine Reserved	HISTORY
9	2	Mezzanine Reserved	HISTORY
10	2	Mezzanine Reserved	HISTORY
11	2	Mezzanine Reserved	HISTORY
12	2	Mezzanine Reserved	HISTORY
13	2	Mezzanine Reserved	HISTORY
14	2	Mezzanine Reserved	HISTORY
15	2	Mezzanine Reserved	HISTORY
16	2	Mezzanine Reserved	HISTORY
17	2	Mezzanine Reserved	HISTORY
18	2	Mezzanine Reserved	HISTORY
19	2	Mezzanine Reserved	HISTORY
20	2	Mezzanine Reserved	HISTORY
21	2	Mezzanine Reserved	HISTORY
22	2	Mezzanine Reserved	HISTORY
23	2	Mezzanine Reserved	HISTORY
24	2	Mezzanine Reserved	HISTORY
25	2	Mezzanine Reserved	HISTORY
26	2	Mezzanine Reserved	HISTORY
27	2	Mezzanine Reserved	HISTORY
28	2	Mezzanine Reserved	HISTORY
29	2	Mezzanine Reserved	HISTORY
30	2	Mezzanine Reserved	HISTORY
31	2	Mezzanine Reserved	HISTORY
32	2	Mezzanine Reserved	HISTORY
33	2	Mezzanine Reserved	HISTORY
34	2	Mezzanine Reserved	HISTORY
35	2	Mezzanine Reserved	HISTORY
36	2	Mezzanine Reserved	HISTORY
37	2	Mezzanine Reserved	HISTORY
38	2	Mezzanine Reserved	HISTORY
39	2	Mezzanine Reserved	HISTORY
40	2	Mezzanine Reserved	HISTORY
1	3	Mezzanine Reserved	HISTORY
2	3	Mezzanine Reserved	HISTORY
3	3	Mezzanine Reserved	HISTORY
4	3	Mezzanine Reserved	HISTORY
5	3	Mezzanine Reserved	HISTORY
6	3	Mezzanine Reserved	HISTORY
7	3	Mezzanine Reserved	HISTORY
8	3	Mezzanine Reserved	HISTORY
9	3	Mezzanine Reserved	HISTORY
10	3	Mezzanine Reserved	HISTORY
11	3	Mezzanine Reserved	HISTORY
12	3	Mezzanine Reserved	HISTORY
13	3	Mezzanine Reserved	HISTORY
14	3	Mezzanine Reserved	HISTORY
15	3	Mezzanine Reserved	HISTORY
16	3	Mezzanine Reserved	HISTORY
17	3	Mezzanine Reserved	HISTORY
18	3	Mezzanine Reserved	HISTORY
19	3	Mezzanine Reserved	HISTORY
20	3	Mezzanine Reserved	HISTORY
21	3	Mezzanine Reserved	HISTORY
22	3	Mezzanine Reserved	HISTORY
23	3	Mezzanine Reserved	HISTORY
24	3	Mezzanine Reserved	HISTORY
25	3	Mezzanine Reserved	HISTORY
26	3	Mezzanine Reserved	HISTORY
27	3	Mezzanine Reserved	HISTORY
28	3	Mezzanine Reserved	HISTORY
29	3	Mezzanine Reserved	HISTORY
30	3	Mezzanine Reserved	HISTORY
31	3	Mezzanine Reserved	HISTORY
32	3	Mezzanine Reserved	HISTORY
33	3	Mezzanine Reserved	HISTORY
34	3	Mezzanine Reserved	HISTORY
35	3	Mezzanine Reserved	HISTORY
36	3	Mezzanine Reserved	HISTORY
37	3	Mezzanine Reserved	HISTORY
38	3	Mezzanine Reserved	HISTORY
39	3	Mezzanine Reserved	HISTORY
40	3	Mezzanine Reserved	HISTORY
1	4	Mezzanine Reserved	HISTORY
2	4	Mezzanine Reserved	HISTORY
3	4	Mezzanine Reserved	HISTORY
4	4	Mezzanine Reserved	HISTORY
5	4	Mezzanine Reserved	HISTORY
6	4	Mezzanine Reserved	HISTORY
7	4	Mezzanine Reserved	HISTORY
8	4	Mezzanine Reserved	HISTORY
9	4	Mezzanine Reserved	HISTORY
10	4	Mezzanine Reserved	HISTORY
11	4	Mezzanine Reserved	HISTORY
12	4	Mezzanine Reserved	HISTORY
13	4	Mezzanine Reserved	HISTORY
14	4	Mezzanine Reserved	HISTORY
15	4	Mezzanine Reserved	HISTORY
16	4	Mezzanine Reserved	HISTORY
17	4	Mezzanine Reserved	HISTORY
18	4	Mezzanine Reserved	HISTORY
19	4	Mezzanine Reserved	HISTORY
20	4	Mezzanine Reserved	HISTORY
21	4	Mezzanine Reserved	HISTORY
22	4	Mezzanine Reserved	HISTORY
23	4	Mezzanine Reserved	HISTORY
24	4	Mezzanine Reserved	HISTORY
25	4	Mezzanine Reserved	HISTORY
26	4	Mezzanine Reserved	HISTORY
27	4	Mezzanine Reserved	HISTORY
