tid	face_value	cancel_datetime	oid
1	42.00	\N	1
2	87.00	\N	1
3	87.00	\N	1
4	44.00	\N	2
5	89.00	\N	2
6	89.00	\N	2
7	40.00	\N	3
8	85.00	\N	3
9	47.00	\N	4
10	67.00	\N	4
11	34.00	\N	5
12	94.00	\N	5
13	45.00	\N	6
14	90.00	\N	6
15	52.00	\N	7
16	52.00	\N	7
17	52.00	\N	7
18	54.00	\N	8
19	54.00	\N	8
20	54.00	\N	8
21	50.00	\N	9
22	95.00	\N	9
23	50.00	\N	9
24	59.00	\N	10
25	104.00	\N	10
26	100.00	\N	11
27	100.00	\N	11
28	62.00	\N	12
29	62.00	\N	12
30	64.00	\N	13
31	64.00	\N	13
32	64.00	\N	13
33	64.00	\N	13
34	45.00	\N	14
35	60.00	\N	14
36	60.00	\N	14
37	82.00	\N	15
38	82.00	\N	15
39	82.00	\N	15
40	39.00	\N	16
41	84.00	\N	16
42	39.00	\N	16
43	80.00	\N	17
44	35.00	\N	17
45	42.00	\N	18
46	42.00	\N	18
47	64.00	2026-05-29 22:45:17	19
48	64.00	\N	19
49	64.00	\N	19
50	44.00	\N	19
51	64.00	\N	19
52	44.00	\N	19
53	64.00	\N	19
54	64.00	\N	19
55	64.00	\N	19
56	64.00	\N	19
57	64.00	\N	19
58	44.00	\N	19
59	44.00	\N	19
60	64.00	\N	19
61	44.00	\N	19
62	64.00	\N	19
63	44.00	\N	19
64	64.00	\N	19
65	40.00	\N	20
66	40.00	\N	20
67	40.00	\N	20
68	40.00	\N	20
69	40.00	\N	20
70	40.00	\N	20
71	40.00	\N	20
72	40.00	\N	20
73	40.00	\N	20
74	40.00	\N	20
75	40.00	\N	20
76	40.00	\N	20
77	40.00	\N	20
78	40.00	\N	20
79	40.00	\N	20
80	40.00	\N	20
81	52.00	2026-03-27 18:48:41	21
82	97.00	\N	21
83	97.00	\N	21
84	52.00	\N	21
85	97.00	\N	21
86	97.00	\N	21
87	52.00	\N	21
88	97.00	\N	21
89	97.00	\N	21
90	52.00	\N	21
91	97.00	\N	21
92	97.00	\N	21
93	52.00	\N	21
94	97.00	\N	21
95	97.00	\N	21
96	50.00	\N	22
97	95.00	\N	22
98	95.00	\N	22
99	50.00	\N	22
100	95.00	\N	22
101	95.00	\N	22
102	50.00	\N	22
103	95.00	\N	22
104	95.00	\N	22
105	50.00	\N	22
106	95.00	\N	22
107	95.00	\N	22
108	50.00	\N	22
109	95.00	\N	22
110	57.00	2026-02-12 14:04:55	23
111	77.00	\N	23
112	102.00	\N	23
113	57.00	\N	23
114	102.00	\N	23
115	102.00	\N	23
116	57.00	\N	23
117	77.00	\N	23
118	102.00	\N	23
119	57.00	\N	23
120	77.00	\N	23
121	102.00	\N	23
122	42.00	\N	24
123	42.00	\N	24
124	44.00	\N	25
125	44.00	\N	25
126	44.00	\N	25
127	40.00	\N	26
128	40.00	\N	26
129	40.00	\N	26
130	40.00	\N	26
131	47.00	\N	27
132	47.00	\N	27
133	47.00	\N	27
134	47.00	\N	27
135	47.00	\N	27
136	34.00	\N	28
137	34.00	\N	28
138	89.00	\N	29
139	89.00	\N	29
140	89.00	\N	29
141	40.00	\N	30
142	40.00	\N	30
143	40.00	\N	30
144	40.00	\N	30
145	92.00	\N	31
146	47.00	\N	31
147	92.00	\N	31
148	92.00	\N	31
149	47.00	\N	31
150	49.00	\N	32
151	49.00	\N	32
152	45.00	\N	33
153	45.00	\N	33
154	45.00	\N	33
155	45.00	\N	34
156	90.00	\N	34
157	45.00	\N	34
158	90.00	\N	34
159	45.00	\N	34
160	45.00	\N	34
161	90.00	\N	35
162	45.00	\N	36
163	45.00	\N	36
164	45.00	\N	36
165	45.00	\N	36
166	45.00	\N	37
167	45.00	\N	37
168	90.00	\N	38
169	90.00	\N	38
170	90.00	\N	38
171	45.00	\N	38
172	45.00	\N	38
173	90.00	\N	38
174	45.00	\N	39
175	45.00	\N	39
176	90.00	\N	39
177	90.00	\N	40
178	45.00	\N	40
179	45.00	\N	40
180	90.00	\N	40
181	90.00	\N	40
182	45.00	\N	40
183	45.00	\N	41
184	45.00	\N	42
185	45.00	\N	42
186	45.00	\N	42
187	45.00	\N	43
188	45.00	\N	43
189	45.00	\N	44
190	45.00	\N	44
191	45.00	\N	44
192	45.00	\N	44
193	90.00	\N	44
194	90.00	\N	44
195	45.00	\N	45
196	52.00	\N	46
197	52.00	\N	46
198	52.00	\N	46
199	52.00	\N	46
200	52.00	\N	47
201	52.00	\N	47
202	52.00	\N	47
203	52.00	\N	48
204	52.00	\N	48
205	52.00	\N	48
206	52.00	\N	48
207	52.00	\N	48
208	52.00	\N	49
209	97.00	\N	49
210	52.00	\N	49
211	52.00	\N	49
212	52.00	\N	49
213	52.00	\N	50
214	97.00	\N	50
215	52.00	\N	50
216	52.00	\N	51
217	52.00	\N	52
218	52.00	\N	52
219	52.00	\N	52
220	52.00	\N	52
221	97.00	\N	52
222	52.00	\N	52
223	52.00	\N	53
224	52.00	\N	53
225	97.00	\N	53
226	52.00	\N	53
227	52.00	\N	53
228	52.00	\N	53
229	97.00	\N	54
230	52.00	\N	54
231	52.00	\N	54
232	52.00	\N	54
233	52.00	\N	54
234	52.00	\N	55
235	52.00	\N	55
236	52.00	\N	56
237	52.00	\N	56
238	54.00	\N	57
239	54.00	\N	57
240	54.00	\N	58
241	54.00	\N	58
242	54.00	\N	58
243	99.00	\N	59
244	54.00	\N	59
245	54.00	\N	59
246	54.00	\N	59
247	54.00	\N	60
248	99.00	\N	61
249	54.00	\N	61
250	54.00	\N	61
251	54.00	\N	62
252	99.00	\N	62
253	54.00	\N	62
254	54.00	\N	62
255	54.00	\N	62
256	54.00	\N	62
257	54.00	\N	63
258	54.00	\N	63
259	54.00	\N	63
260	99.00	\N	63
261	54.00	\N	64
262	54.00	\N	65
263	54.00	\N	65
264	99.00	\N	66
265	54.00	\N	66
266	54.00	\N	66
267	54.00	\N	67
268	99.00	\N	67
269	54.00	\N	67
270	54.00	\N	67
271	54.00	\N	67
272	54.00	\N	68
273	99.00	\N	68
274	54.00	\N	68
275	54.00	\N	68
276	54.00	\N	69
277	54.00	\N	69
278	54.00	\N	70
279	99.00	\N	70
280	54.00	\N	70
281	50.00	\N	71
282	50.00	\N	71
283	50.00	\N	71
284	50.00	\N	72
285	50.00	\N	73
286	50.00	\N	74
287	50.00	\N	75
288	50.00	\N	75
289	50.00	\N	75
290	95.00	\N	75
291	50.00	\N	75
292	50.00	\N	76
293	50.00	\N	76
294	50.00	\N	76
295	50.00	\N	77
296	50.00	\N	78
297	50.00	\N	78
298	95.00	\N	78
299	50.00	\N	79
300	50.00	\N	79
301	50.00	\N	79
302	50.00	\N	79
303	50.00	\N	79
304	50.00	\N	79
305	50.00	\N	80
306	50.00	\N	80
307	50.00	\N	80
308	50.00	\N	81
309	50.00	\N	81
310	50.00	\N	81
311	50.00	\N	81
312	50.00	\N	82
313	50.00	\N	82
314	50.00	\N	82
315	50.00	\N	82
316	50.00	\N	83
317	50.00	\N	83
318	50.00	\N	83
319	50.00	\N	83
320	50.00	\N	83
321	50.00	\N	83
322	95.00	\N	84
323	50.00	\N	84
324	50.00	\N	84
325	59.00	\N	85
326	104.00	\N	86
327	59.00	\N	86
328	104.00	\N	87
329	104.00	\N	87
330	104.00	\N	87
331	104.00	\N	87
332	59.00	\N	87
333	59.00	\N	88
334	104.00	\N	89
335	104.00	\N	89
336	59.00	\N	89
337	59.00	\N	89
338	59.00	\N	89
339	59.00	\N	90
340	59.00	\N	91
341	59.00	\N	92
342	59.00	\N	92
343	104.00	\N	93
344	104.00	\N	94
345	104.00	\N	94
346	59.00	\N	94
347	59.00	\N	94
348	59.00	\N	95
349	104.00	\N	95
350	59.00	\N	96
351	59.00	\N	96
352	59.00	\N	96
353	104.00	\N	97
354	104.00	\N	98
355	59.00	\N	98
356	59.00	\N	98
357	104.00	\N	98
358	59.00	\N	98
359	59.00	\N	98
360	104.00	\N	99
361	104.00	\N	99
362	104.00	\N	99
363	104.00	\N	100
364	104.00	\N	100
365	104.00	\N	101
366	104.00	\N	101
367	59.00	\N	102
368	104.00	\N	102
369	104.00	\N	102
370	104.00	\N	102
371	100.00	\N	103
372	100.00	\N	103
373	55.00	\N	103
374	55.00	\N	103
375	100.00	\N	103
376	100.00	\N	103
377	100.00	\N	104
378	100.00	\N	104
379	55.00	\N	104
380	55.00	\N	104
381	100.00	\N	104
382	100.00	\N	105
383	100.00	\N	105
384	55.00	\N	105
385	55.00	\N	105
386	55.00	\N	105
387	100.00	\N	105
388	55.00	\N	106
389	55.00	\N	106
390	100.00	\N	107
391	100.00	\N	107
392	55.00	\N	107
393	55.00	\N	108
394	100.00	\N	108
395	55.00	\N	109
396	100.00	\N	109
397	55.00	\N	110
398	100.00	\N	111
399	55.00	\N	111
400	100.00	\N	111
401	55.00	\N	111
402	55.00	\N	111
403	55.00	\N	112
404	100.00	\N	112
405	100.00	\N	112
406	100.00	\N	112
407	100.00	\N	112
408	100.00	\N	112
409	55.00	\N	113
410	100.00	\N	113
411	55.00	\N	113
412	100.00	\N	113
413	55.00	\N	114
414	100.00	\N	114
415	55.00	\N	114
416	100.00	\N	114
417	100.00	\N	114
418	62.00	\N	115
419	62.00	\N	116
420	62.00	\N	117
421	62.00	\N	117
422	62.00	\N	117
423	62.00	\N	117
424	62.00	\N	117
425	62.00	\N	118
426	62.00	\N	118
427	62.00	\N	118
428	62.00	\N	118
429	62.00	\N	119
430	62.00	\N	119
431	62.00	\N	119
432	62.00	\N	119
433	62.00	\N	119
434	62.00	\N	119
435	62.00	\N	120
436	62.00	\N	120
437	62.00	\N	120
438	62.00	\N	120
439	62.00	\N	120
440	62.00	\N	120
441	62.00	\N	121
442	62.00	\N	121
443	62.00	\N	121
444	62.00	\N	121
445	62.00	\N	122
446	62.00	\N	122
447	62.00	\N	122
448	62.00	\N	122
449	62.00	\N	123
450	62.00	\N	123
451	62.00	\N	123
452	62.00	\N	123
453	62.00	\N	123
454	62.00	\N	124
455	62.00	\N	124
456	62.00	\N	125
457	62.00	\N	125
458	62.00	\N	126
459	62.00	\N	126
460	62.00	\N	126
461	62.00	\N	127
462	62.00	\N	127
463	62.00	\N	128
464	62.00	\N	128
465	62.00	\N	129
466	64.00	\N	130
467	64.00	\N	130
468	64.00	\N	130
469	64.00	\N	130
470	64.00	\N	130
471	64.00	\N	131
472	64.00	\N	131
473	64.00	\N	131
474	64.00	\N	132
475	64.00	\N	133
476	64.00	\N	133
477	64.00	\N	133
478	64.00	\N	133
479	64.00	\N	133
480	64.00	\N	134
481	64.00	\N	134
482	64.00	\N	135
483	64.00	\N	135
484	64.00	\N	135
485	64.00	\N	135
486	64.00	\N	135
487	64.00	\N	135
488	64.00	\N	136
489	64.00	\N	136
490	64.00	\N	136
491	64.00	\N	136
492	64.00	\N	136
493	64.00	\N	137
494	64.00	\N	137
495	64.00	\N	137
496	64.00	\N	137
497	64.00	\N	137
498	64.00	\N	137
499	64.00	\N	138
500	64.00	\N	138
501	64.00	\N	138
502	64.00	\N	138
503	64.00	\N	138
504	64.00	\N	139
505	64.00	\N	139
506	64.00	\N	139
507	64.00	\N	139
508	64.00	\N	139
509	64.00	\N	139
510	64.00	\N	140
511	64.00	\N	140
512	64.00	\N	140
513	64.00	\N	140
514	64.00	\N	141
515	45.00	\N	142
516	60.00	\N	142
517	60.00	\N	143
518	60.00	\N	143
519	45.00	\N	143
520	60.00	\N	144
521	60.00	\N	144
522	60.00	\N	144
523	45.00	\N	144
524	60.00	\N	145
525	60.00	\N	145
526	60.00	\N	146
527	45.00	\N	146
528	60.00	\N	147
529	60.00	\N	147
530	60.00	\N	147
531	45.00	\N	147
532	60.00	\N	147
533	60.00	\N	148
534	60.00	\N	148
535	45.00	\N	148
536	60.00	\N	149
537	60.00	\N	149
538	60.00	\N	149
539	45.00	\N	150
540	60.00	\N	150
541	60.00	\N	150
542	60.00	\N	150
543	45.00	\N	151
544	60.00	\N	151
545	60.00	\N	151
546	60.00	\N	151
547	45.00	\N	152
548	60.00	\N	152
549	60.00	\N	152
550	60.00	\N	152
551	45.00	\N	152
552	60.00	\N	153
553	60.00	\N	153
554	60.00	\N	153
555	45.00	\N	153
556	60.00	\N	153
557	60.00	\N	153
558	60.00	\N	154
559	45.00	\N	154
560	60.00	\N	154
561	60.00	\N	154
562	60.00	\N	155
563	45.00	\N	155
564	60.00	\N	156
565	82.00	\N	157
566	82.00	\N	157
